concept	concept_question		prediction_question		limitation_question		Concept Difficulty
	your answer	comments	your answer	comments	your answer	comments	
Abstention_doctrine	C	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions. 	C	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions. 	A	(1) No.  (2) Based on the definition and story alone, it is hard to conclude that A is the correct answer. Indeed, the background information provided in connection with the Abstention doctrine does not suggest that a clear violation of either federal or state law would preempt the application of such doctrine.  (3) I do not think that any changes are necessary for the questions, but do believe that the definition should provide more relevant information about the Abstentation doctrine, especially with respect to situations where the doctrine clearly would not apply. 	Hard
Constitutional_convention_(political_custom)	B	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions. 	C	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions. 	D	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions. 	Easy
Unaccompanied_minor	C	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions. 	B	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions. 	C	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions. 	Easy
Substantial_certainty_doctrine	B	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions. 	B	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions. 	D	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions. 	Easy
Learned_intermediary	B	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions. 	B	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions. 	A	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions. 	Easy
Doctrine_of_foreign_equivalents	B	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions. 	C	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions. 	B	(1) No.  (2) I chose B instead of the suggested answer A. My rationale was that proper nouns, referring to specific persons or objects, are much less likely to have the same semantic meanings across different languages and therefore much less likely to cause the type of confusions that the Doctrine of foreign equivalents is intended to address. I did not choose A because believed that words from a language not commonly spoken in the United States can still cause confusions if such words have the same meaning with certain English words.  However, after reading the rationale for the suggested answer, I do acknowledge that the choice A makes sense to the extent that if most people do not realize that a foreign word has a similar meaning to certain English words, then the confusion to be addressed by the doctrine might not exist at all.  (3) No further suggestions. 	Medium
Prosecutorial_discretion	B	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions. 	C	(1) No.  (2) The suggested answer is correct.   (3) No further suggestions. 	C	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions. 	Easy
Safe_harbor_(law)	B	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions. 	B	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions. 	C	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions. 	Easy
FTC_v._Dean_Foods_Co.	B	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions. 	B	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions. 	D	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions. 	Easy
Volenti_non_fit_injuria	B	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions. 	A	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions. 	C	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions. 	Easy
Plain_meaning_rule	B	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions. 	A	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions. 	C	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions. 	Easy
