concept	intro_text	word_count
Abstention_doctrine	"An abstention doctrine is any of several doctrines that a United States court may (or in some cases must) apply to refuse to hear a case if hearing the case would potentially intrude upon the powers of another court. Such doctrines are usually invoked where lawsuits involving the same issues are brought in two different court systems at the same time (such as federal and state courts).
The United States has a federal court system with limitations on the cases that it can hear, while each state has its own individual court system. In some instances, the jurisdiction of these courts overlap, so a lawsuit between two parties may be brought in either or both courts. The latter circumstance can lead to confusion, waste resources, as well as cause the appearance that one court is disrespecting the other. Both federal and state courts have developed rules determining when one court will defer to another's jurisdiction over a particular case.

"	159
Actio_libera_in_causa	"Actio libera in causa (frequently abbreviated as a.l.i.c., Latin for ""action free in its cause"") is a law principle in a typical Western law system (both common law and civil law). The doctrine means that even if the person was not free to choose the course of action while performing an offence, he can still be held responsible for it if he voluntarily created a condition (""cause"") for the offending action. A typical example is self-defense: in Anglo-American jurisdictions lethal action is justified under certain circumstances while protecting oneself, others, or property. However, this defense is not available, for example, to a person who started the fight, thus creating a ""cause"" for killing in self-defense at a later time. Most frequently a.l.i.c. is mentioned with regard to voluntary intoxication: if a person gets drunk, she will not be able use her state of inebriation to claim that, for example, her act of negligence was an accident.

"	156
Agent_of_record	"An agent of record (AOR) is an individual or a legal entity with a duly executed contractual agreement with an insurance policy owner, in line with the prevailing legal norms and regulations of the region in which the contract was entered. The agent of record has a legal right to receive commissions from the respective insurance policy.
The individual or legal entity is authorized to represent an insured party in purchasing, servicing, and maintaining insurance coverage with a designated insurer. The majority of insurance companies will not disclose information or discuss an insured party's account with an agent other than the agent of record. An insured party wishing to change insurance agent(s) must submit a revised agent of record letter to the respective insurer authorizing said insurer to release the insured party's information and to discuss the insured party's coverage with the newly appointed agent.
Relevant documents may be executed via hard copy documents or, alternatively, electronically in jurisdictions where electronic execution is legal. Applications may be made electronically, as well as in physical form.
An agent of record letter can, in some cases, be used as an insurance sales tool, though some question its legality.

"	196
Alternative_liability	"Alternative liability is a legal doctrine that allows a plaintiff to shift the burden of proving causation of her injury to multiple defendants, even though only one of them could have been responsible. The typical case showing the principle of alternative liability in action is Summers v. Tice, where the two defendants negligently shot in the direction of the plaintiff and two pellets caused the plaintiff's injury, one in the right eye and one in the upper lip. In the interest of justice, the innocent plaintiff's case is not defeated because he cannot prove which party was the actual cause (but-for cause) of his injury.

"	105
Audi_alteram_partem	"Audi alteram partem (or audiatur et altera pars) is a Latin phrase meaning ""listen to the other side"", or ""let the other side be heard as well"". It is the principle that no person should be judged without a fair hearing in which each party is given the opportunity to respond to the evidence against them.""Audi alteram partem"" is considered to be a principle of fundamental justice or equity or the principle of natural justice in most legal systems. This principle includes the rights of a party or its lawyers to confront the witnesses against them, to have a fair opportunity to challenge the evidence presented by the other party, to summon one's own witnesses and to present evidence, and to have counsel, if necessary at public expense, in order to make one's case properly."	135
Beneficium_inventarii	"Beneficium inventarii (literally benefit of the inventory) is a legal doctrine introduced into Roman law by Justinian I to limit the liability of heirs resulting from an insolvent estate.The beneficium inventarii (French: bénéfice d'invenataire) also occurred in article 793 of the Napoleonic Code (1804), which became the basis of most of the following civil codes, in force in countries such as France and Italy.The doctrine, which is in force today in many civil law systems, applies to both wills and intestate successions. An heir may accept a succession under beneficium inventarii without being liable for the debts attaching to the estate or to the claims of legatees beyond the estate's value as previously determined by inventory.

"	116
Boulevard_rule	"The boulevard rule is a principle in United States traffic law which states that the driver of a vehicle entering a highway from a smaller road or entrance (called the unfavored driver) must stop and yield the right of way to all highway traffic (the favored drivers).  The rule often comes into play in road accident cases, when a court must determine if a driver is negligent in causing a collision, due to his breach of the duty of care imposed by the rule on the unfavored driver.
Maryland is among the U.S. states which follow this rule, but not all states have similar provisions in statutes or case law. New York applies the rule to traffic entering public roads from private driveways or alleys, but not where public roads intersect.

"	131
Brady_disclosure	"In the legal system of the United States, a Brady disclosure consists of exculpatory or impeaching information and evidence that is material to the guilt or innocence or to the punishment of a defendant. The term comes from the 1963 U.S. Supreme Court case Brady v. Maryland, in which the Supreme Court ruled that suppression by the prosecution of evidence favorable to a defendant who has requested it violates due process.
Following Brady, the prosecutor must disclose evidence or information that would prove the innocence of the defendant or would enable the defense to more effectively impeach the credibility of government witnesses. Evidence that would serve to reduce the defendant's sentence must also be disclosed by the prosecution. In practice this doctrine has often proved difficult to enforce. Some states have established their own laws to try to strengthen enforcement against prosecutorial misconduct in this area."	146
Burden_of_proof_(law)	"In a legal dispute, one party has the burden of proof to show that they are correct, while the other party has no such burden and is presumed to be correct. The burden of proof requires a party to produce evidence to establish the truth of facts needed to satisfy all the required legal elements of the dispute. 
The burden of proof is usually on the person who brings a claim in a dispute. It is often associated with the Latin maxim semper necessitas probandi incumbit ei qui agit, a translation of which is: ""the necessity of proof always lies with the person who lays charges.""  In civil suits, for example, the plaintiff bears the burden of proof that the defendant's action or inaction caused injury to the plaintiff, and the defendant bears the burden of proving an affirmative defense. The burden of proof is on the prosecutor for criminal cases, and the defendant is presumed innocent. If the claimant fails to discharge the burden of proof to prove their case, the claim will be dismissed.

"	176
Commanding_precedent	"In law, a commanding precedent is a precedent whose facts are ""on all fours"" with the case at hand. In other words, it almost exactly tracks it, sharing near-identical facts and issues. A commanding precedent is also referred to as a ""Goose"" case in Louisiana; ""Spotted Horse"" or ""Spotted Dog"" cases in Alabama; ""Cow"" case in Kansas; and ""White Horse"" or ""White Pony"" cases in Texas. A legal rule can be ""clearly established"" without commanding precedent existing. For example, in the United States, a governmental official is generally protected by qualified immunity if his acts were objectively legally reasonable, but such protection may not apply if, in light of pre-existing law, the unlawfulness of his conduct would have been apparent to a reasonably competent official, even if no commanding precedent applicable to his specific behavior existed.

"	136
